STT,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,,,,,,,,,,,,,,,,,,,
14,Sở Giao dịch Chứng khoán TP.HCM trực thuộc cơ quan nào?,Ngân hàng Nhà nước,Bộ Kế hoạch và Đầu tư,Bộ Tài chính,Văn phòng Chính phủ,C,,,,,,,,,,,,,,,,,,,
15,Cổ phiếu nào sau đây thuộc ngành bán lẻ?,FPT,MWG,GAS,VNM,B,,,,,,,,,,,,,,,,,,,
16,Sở Giao dịch Chứng khoán TP.HCM có tên viết tắt là gì?,HSE,HOSE,HNX,HCMX,B,,,,,,,,,,,,,,,,,,,
17,Cơ quan nào quản lý hoạt động chứng khoán tại Việt Nam?,Ngân hàng Nhà nước,Quốc hội,Ủy ban Chứng khoán Nhà nước,Văn phòng Chính phủ,C,,,,,,,,,,,,,,,,,,,
18,Cổ phiếu nào sau đây thuộc lĩnh vực ngân hàng?,HPG,VCB,VNM,FPT,B,,,,,,,,,,,,,,,,,,,
19,Sàn HNX là viết tắt của gì?,Sở Giao dịch Chứng khoán Hà Nội,Hội Nhà đầu tư Xuất sắc,Hiệp hội Niêm yết Xanh,Hệ thống Nghiệp vụ Xuất khẩu,A,,,,,,,,,,,,,,,,,,,
20,Công ty chứng khoán nào lớn nhất Việt Nam tính theo thị phần?,VNDIRECT,HSC,VCBS,VPS,D,,,,,,,,,,,,,,,,,,,
21,Cổ phiếu Bluechip thường có đặc điểm gì?,"Giá trị thấp, rủi ro cao",Thanh khoản thấp,"Công ty lớn, uy tín, ổn định",Chưa niêm yết chính thức,C,,,,,,,,,,,,,,,,,,,
22,Ngày giao dịch không hưởng quyền là ngày gì?,Ngày không được phép giao dịch,Ngày cổ phiếu không còn nhận cổ tức/quyền mua,Ngày giao dịch chỉ áp dụng cho tổ chức,Ngày thị trường nghỉ lễ,B,,,,,,,,,,,,,,,,,,,
23,Công ty nào sau đây không phải công ty chứng khoán?,VNDIRECT,SSI,TPBank,HSC,C,,,,,,,,,,,,,,,,,,,
24,Mã cổ phiếu VNM thuộc công ty nào?,VinGroup,Vinamilk,Vietinbank,VinaCapital,B,,,,,,,,,,,,,,,,,,,
25,Cổ tức là gì?,Thuế nhà đầu tư phải đóng,Chi phí giao dịch,Phần lợi nhuận được chia cho cổ đông,Lỗ do đầu tư sai,C,,,,,,,,,,,,,,,,,,,
26,UPCoM là nơi giao dịch của loại công ty nào?,Đã niêm yết HOSE,Đã giải thể,Chưa đủ điều kiện niêm yết HOSE/HNX,Công ty nước ngoài,C,,,,,,,,,,,,,,,,,,,
27,VN-Index được tính toán dựa trên gì?,Tổng số nhà đầu tư,Giá cổ phiếu và khối lượng giao dịch,Chỉ giá vàng,Số lượng công ty trên sàn,B,,,,,,,,,,,,,,,,,,,
28,Công ty nào dưới đây hoạt động trong lĩnh vực thép?,VNM,HPG,VCB,MWG,B,,,,,,,,,,,,,,,,,,,
29,Cổ phiếu nào sau đây là cổ phiếu công nghệ?,FPT,BVH,VIC,GAS,A,,,,,,,,,,,,,,,,,,,
30,Ai được phép tham gia giao dịch trên thị trường chứng khoán Việt Nam?,Chỉ tổ chức nhà nước,Chỉ công ty cổ phần,Mọi công dân và tổ chức hợp pháp,Chỉ người có bằng chứng chỉ hành nghề,C,,,,,,,,,,,,,,,,,,,
31,Chứng khoán là gì?,Một loại hình tiết kiệm ngân hàng,Giấy tờ có giá xác nhận quyền và lợi ích hợp pháp của người sở hữu,Một loại hình thuế,Một công cụ để vay tiền từ ngân hàng,B,,,,,,,,,,,,,,,,,,,
32,VN-Index là chỉ số thể hiện điều gì?,Giá trị thị trường của tất cả các công ty trên sàn HNX,Giá trị giao dịch trung bình hàng ngày,Biến động giá của tất cả cổ phiếu niêm yết trên HOSE,Số lượng nhà đầu tư cá nhân trên thị trường,C,,,,,,,,,,,,,,,,,,,
33,Công ty chứng khoán có vai trò gì?,Cho vay vốn đầu tư bất động sản,Thực hiện kiểm toán báo cáo tài chính,"Môi giới, tư vấn và lưu ký chứng khoán",Định giá bất động sản,C,,,,,,,,,,,,,,,,,,,
34,Lệnh ATO được sử dụng khi nào?,Trong phiên khớp lệnh liên tục,Trước giờ nghỉ trưa,Khi đóng cửa thị trường,Khi mở cửa thị trường,D,,,,,,,,,,,,,,,,,,,
35,ETF là gì?,Quỹ đầu tư cổ phiếu riêng lẻ,Quỹ đầu tư theo chỉ số,Một dạng công ty đại chúng,Một loại hình trái phiếu doanh nghiệp,B,,,,,,,,,,,,,,,,,,,
36,Cổ phiếu Bluechip là gì?,Cổ phiếu có giá dưới 10.000 đồng,Cổ phiếu mới phát hành lần đầu,"Cổ phiếu của công ty lớn, uy tín, vốn hóa cao",Cổ phiếu không được giao dịch công khai,C,,,,,,,,,,,,,,,,,,,
37,Thị trường chứng khoán Việt Nam có mấy sàn chính?,1,2,3,4,C,,,,,,,,,,,,,,,,,,,
38,P/E là viết tắt của?,Price to Equity,Profit to Equity,Price to Earnings,Profit to Earnings,C,,,,,,,,,,,,,,,,,,,
39,Ai là người quản lý Quỹ đầu tư?,Ngân hàng,Công ty kiểm toán,Nhà đầu tư cá nhân,Công ty quản lý quỹ,D,,,,,,,,,,,,,,,,,,,
40,Giá trần trong chứng khoán là gì?,Giá thấp nhất trong ngày,Giá cao nhất có thể giao dịch trong ngày,Giá khởi điểm của cổ phiếu,Giá đóng cửa của phiên trước,B,,,,,,,,,,,,,,,,,,,
41,Cổ phiếu bị đưa vào diện kiểm soát khi nào?,Khi được chia cổ tức,Khi có lợi nhuận cao,Khi có dấu hiệu vi phạm hoặc kết quả kinh doanh kém,Khi được niêm yết mới,C,,,,,,,,,,,,,,,,,,,
42,Thị giá là gì?,Giá trị sổ sách của cổ phiếu,Giá phát hành lần đầu,Giá cổ phiếu đang giao dịch trên thị trường,Giá do công ty định giá,C,,,,,,,,,,,,,,,,,,,
43,IPO là gì?,Mua lại cổ phần công ty khác,Phát hành cổ phiếu lần đầu ra công chúng,Hợp nhất doanh nghiệp,Đầu tư dài hạn vào cổ phiếu,B,,,,,,,,,,,,,,,,,,,
44,Giá tham chiếu được tính dựa trên yếu tố nào?,Giá mở cửa,Giá trung bình trong ngày,Giá đóng cửa phiên giao dịch liền trước,Giá thấp nhất trong tuần,C,,,,,,,,,,,,,,,,,,,
45,Thời gian giao dịch của sàn HOSE bắt đầu từ mấy giờ?,8h00,9h00,9h15,10h00,B,,,,,,,,,,,,,,,,,,,
46,Lệnh LO trong giao dịch chứng khoán là gì?,Lệnh giới hạn với mức giá cụ thể,Lệnh mua bất kỳ giá nào,Lệnh khớp cuối phiên,Lệnh tự động lặp lại,A,,,,,,,,,,,,,,,,,,,
47,Lệnh MP là gì?,Lệnh mua giá thấp nhất,Lệnh bán với mức giá cao nhất,Lệnh thị trường không xác định giá,Lệnh bị hoãn lại,C,,,,,,,,,,,,,,,,,,,
48,Thị trường UPCoM là gì?,Sàn giao dịch hàng hóa,Thị trường cổ phiếu chưa niêm yết chính thức,Sàn chỉ dành cho cổ phiếu nước ngoài,Sàn chứng khoán phái sinh,B,,,,,,,,,,,,,,,,,,,
49,Chỉ số HNX-Index đại diện cho sàn nào?,HOSE,UPCoM,HNX,VNX,C,,,,,,,,,,,,,,,,,,,
50,Trái phiếu là gì?,Quyền mua cổ phiếu ưu đãi,Giấy ghi nhận khoản vay của tổ chức phát hành,Hợp đồng góp vốn vào công ty,Quyền biểu quyết trong đại hội cổ đông,B,,,,,,,,,,,,,,,,,,,
51,Cổ đông là gì?,Người vay tiền công ty,Người gửi tiết kiệm ngân hàng,Người sở hữu một phần cổ phần công ty,Người giám sát công ty,C,,,,,,,,,,,,,,,,,,,
52,Báo cáo tài chính quý được công bố bao nhiêu lần mỗi năm?,1 lần,2 lần,3 lần,4 lần,D,,,,,,,,,,,,,,,,,,,
53,Công ty niêm yết là gì?,Công ty được bán đấu giá,Công ty có cổ phiếu được giao dịch công khai trên sàn,Công ty nhà nước,Công ty có vốn 100% nước ngoài,B,,,,,,,,,,,,,,,,,,,
54,Chứng quyền có bảo đảm là gì?,Trái phiếu dài hạn,Hợp đồng quyền mua hoặc bán cổ phiếu có giới hạn thời gian,Chứng chỉ quỹ mở,Cổ phiếu ưu đãi,B,,,,,,,,,,,,,,,,,,,
55,P/B là chỉ số gì?,Price to Benefit,Price to Book value,Profit to Bond,Price to Bonus,B,,,,,,,,,,,,,,,,,,,
56,Sở Giao dịch Chứng khoán Hà Nội viết tắt là gì?,HNX,HSE,HCM,HSG,A,,,,,,,,,,,,,,,,,,,
57,Cổ phiếu quỹ là gì?,Cổ phiếu nhà nước nắm giữ,Cổ phiếu đã được bán cho quỹ đầu tư,Cổ phiếu do công ty phát hành và mua lại,Cổ phiếu dùng để chia cổ tức,C,,,,,,,,,,,,,,,,,,,
58,Vốn hóa thị trường là gì?,Tổng vốn đầu tư nước ngoài,Giá trị của một công ty tính theo giá cổ phiếu hiện tại nhân với số lượng cổ phiếu,Lợi nhuận sau thuế,Tài sản cố định của công ty,B,,,,,,,,,,,,,,,,,,,
59,Nhà đầu tư F0 là ai?,Người đầu tư chuyên nghiệp,Người đầu tư nước ngoài,Người mới tham gia thị trường,Người đầu tư theo nhóm,C,,,,,,,,,,,,,,,,,,,
60,Thanh khoản là gì?,Khả năng sinh lời của công ty,Khả năng trả cổ tức,Mức độ dễ dàng chuyển đổi thành tiền mặt,Tần suất họp cổ đông,C,,,,,,,,,,,,,,,,,,,
61,Bán khống là gì?,Bán cổ phiếu đang sở hữu,Bán cổ phiếu khi giá cao,Bán cổ phiếu vay mượn để chờ giá xuống mua lại,Bán trái phiếu dài hạn,C,,,,,,,,,,,,,,,,,,,
62,Sàn HOSE hoạt động trong ngày nào?,Chủ nhật đến thứ Năm,Thứ Hai đến thứ Sáu,Cả tuần trừ ngày lễ,Thứ Hai đến thứ Bảy,B,,,,,,,,,,,,,,,,,,,
63,NAV là gì trong chứng chỉ quỹ?,Tổng lợi nhuận thuần,Giá trị tài sản ròng,Chỉ số lợi nhuận thực tế,Giá vốn đầu tư,B,,,,,,,,,,,,,,,,,,,
64,Room ngoại trong chứng khoán là gì?,Số lượng cổ phiếu bán ra nước ngoài,Tỷ lệ sở hữu tối đa của nhà đầu tư nước ngoài,Căn phòng đàm phán cổ phiếu,Phòng giao dịch quốc tế,B,,,,,,,,,,,,,,,,,,,
65,Biên độ dao động giá cổ phiếu trên HOSE là bao nhiêu?,±5%,±7%,±10%,±20%,B,,,,,,,,,,,,,,,,,,,
66,Biên độ dao động giá cổ phiếu trên HNX là bao nhiêu?,±5%,±7%,±10%,±15%,C,,,,,,,,,,,,,,,,,,,
67,Biên độ dao động giá cổ phiếu trên UPCoM là bao nhiêu?,±10%,±15%,±20%,±30%,B,,,,,,,,,,,,,,,,,,,
68,Phái sinh tài chính là gì?,Chứng khoán cơ sở,Công cụ có giá trị phụ thuộc tài sản gốc,Cổ phiếu ưu đãi,Hợp đồng vay vốn,B,,,,,,,,,,,,,,,,,,,
69,Hợp đồng tương lai là gì?,Thỏa thuận mua bán tại thời điểm hiện tại,Thỏa thuận mua bán tại thời điểm tương lai,Giao dịch cổ phiếu lô lẻ,Cổ phiếu ưu đãi,B,,,,,,,,,,,,,,,,,,,
70,Khối ngoại là gì?,Nhà đầu tư trong nước,Nhà đầu tư là công ty chứng khoán,Nhà đầu tư nước ngoài,Nhà đầu tư tổ chức trong nước,C,,,,,,,,,,,,,,,,,,,
71,Lệnh ATC được dùng khi nào?,Đầu phiên,Trong phiên,Cuối phiên,Ngoài giờ giao dịch,C,,,,,,,,,,,,,,,,,,,
72,Số lượng tối thiểu của một lô cổ phiếu niêm yết trên HOSE là?,1 cổ phiếu,10 cổ phiếu,100 cổ phiếu,1000 cổ phiếu,C,,,,,,,,,,,,,,,,,,,
73,Cổ phiếu bị hủy niêm yết bắt buộc khi?,Công ty đạt lợi nhuận cao,Có vi phạm nghiêm trọng quy định niêm yết,Công ty không hoàn thành kế hoạch kinh doanh,Công ty được mua lại,B,,,,,,,,,,,,,,,,,,,
74,Chỉ số VNX Allshare là gì?,Tổng số nhà đầu tư cá nhân,Tổng số cổ phiếu Bluechip,Chỉ số tổng hợp của HOSE và HNX,Chỉ số ngành công nghiệp nặng,C,,,,,,,,,,,,,,,,,,,
75,Quỹ đóng có đặc điểm gì?,Nhà đầu tư rút tiền bất kỳ lúc nào,Chỉ giao dịch trên sàn chứng khoán,Luôn có lợi nhuận cố định,Có thời hạn và không mua lại trước hạn,D,,,,,,,,,,,,,,,,,,,
76,Quỹ mở có đặc điểm gì?,Được rút vốn linh hoạt,Không có quyền mua bán lại,Không có rủi ro,Không niêm yết trên thị trường,A,,,,,,,,,,,,,,,,,,,
77,Thời gian giao dịch buổi chiều trên HOSE bắt đầu từ mấy giờ?,13h00,13h15,13h30,14h00,A,,,,,,,,,,,,,,,,,,,
78,Công ty đại chúng bắt buộc công bố thông tin gì?,Doanh thu cá nhân,Kế hoạch tuyển dụng,Báo cáo tài chính định kỳ,Sở thích lãnh đạo,C,,,,,,,,,,,,,,,,,,,
79,Khối lượng giao dịch thể hiện điều gì?,Tổng số tiền đầu tư,Số lượng cổ phiếu được giao dịch trong một khoảng thời gian,Giá cổ phiếu cao nhất,Lãi suất ngân hàng,B,,,,,,,,,,,,,,,,,,,
80,Thị trường gấu (bear market) là gì?,Thị trường tăng mạnh,Thị trường đi ngang,Thị trường giảm mạnh,Thị trường ổn định,C,,,,,,,,,,,,,,,,,,,
81,Thị trường bò (bull market) là gì?,Thị trường tăng giá kéo dài,Thị trường sụt giảm mạnh,Thị trường chỉ có trái phiếu,Thị trường không có thanh khoản,A,,,,,,,,,,,,,,,,,,,
82,Phân tích cơ bản chủ yếu tập trung vào yếu tố nào?,Biến động giá ngắn hạn,Chỉ số kinh tế và tài chính doanh nghiệp,Đồ thị giá,Tâm lý thị trường,B,,,,,,,,,,,,,,,,,,,
83,Tỷ số ROE phản ánh điều gì?,Khả năng trả nợ,Hiệu quả sử dụng tài sản,Lợi nhuận trên vốn chủ sở hữu,Doanh thu trên vốn vay,C,,,,,,,,,,,,,,,,,,,
84,Tỷ lệ nợ trên vốn chủ sở hữu (D/E) cho biết điều gì?,Khả năng tăng trưởng doanh thu,Mức độ sử dụng đòn bẩy tài chính,Giá trị thị trường của công ty,Lãi ròng,B,,,,,,,,,,,,,,,,,,,
85,EPS là viết tắt của gì?,Earnings Per Share,Earnings Public Stock,Equity Per Share,Expenses Per Share,A,,,,,,,,,,,,,,,,,,,
86,Chỉ số P/E càng cao thường phản ánh điều gì?,Cổ phiếu bị đánh giá thấp,Cổ phiếu bị định giá cao hoặc kỳ vọng tăng trưởng mạnh,Doanh nghiệp đang lỗ,Cổ phiếu ít thanh khoản,B,,,,,,,,,,,,,,,,,,,
87,Báo cáo nào giúp đánh giá khả năng sinh lời của doanh nghiệp?,Báo cáo lưu chuyển tiền tệ,Bảng cân đối kế toán,Báo cáo kết quả kinh doanh,Thuyết minh tài chính,C,,,,,,,,,,,,,,,,,,,
88,Tài sản ngắn hạn gồm những gì?,"Nhà xưởng, máy móc",Vốn góp của cổ đông,"Tiền mặt, hàng tồn kho, các khoản phải thu",Nợ dài hạn,C,,,,,,,,,,,,,,,,,,,
89,Một doanh nghiệp có biên lợi nhuận gộp cao cho thấy điều gì?,Doanh nghiệp không hiệu quả,Doanh nghiệp có lợi thế cạnh tranh,Chi phí cao,Thị phần nhỏ,B,,,,,,,,,,,,,,,,,,,
90,RSI là chỉ báo gì?,Chỉ báo dòng tiền,Chỉ báo sức mạnh tương đối,Chỉ báo lợi nhuận ròng,Chỉ báo khối lượng,B,,,,,,,,,,,,,,,,,,,
91,Giá trị RSI trên 70 thường báo hiệu điều gì?,Cổ phiếu đang quá bán,Cổ phiếu đang tích lũy,Cổ phiếu đang quá mua,Cổ phiếu không thanh khoản,C,,,,,,,,,,,,,,,,,,,
92,MACD là công cụ dùng để?,Tính lợi nhuận gộp,Phân tích tài sản cố định,Nhận diện xu hướng giá và tín hiệu mua bán,Xác định giá trị sổ sách,C,,,,,,,,,,,,,,,,,,,
93,Mô hình nến “Doji” thể hiện điều gì?,Thị trường tăng mạnh,Thị trường giảm mạnh,Sự do dự giữa bên mua và bên bán,Bên bán chiếm ưu thế,C,,,,,,,,,,,,,,,,,,,
94,Khối lượng giao dịch tăng mạnh trong mô hình tăng giá thường cho thấy?,Tín hiệu yếu,Sự xác nhận xu hướng tăng,Khả năng đảo chiều giảm,Thị trường không ổn định,B,,,,,,,,,,,,,,,,,,,
95,Mô hình “Vai - Đầu - Vai ngược” báo hiệu gì?,Tiếp diễn xu hướng giảm,Đảo chiều sang xu hướng tăng,Tăng trưởng doanh thu,Cổ phiếu rơi vào diện kiểm soát,B,,,,,,,,,,,,,,,,,,,
96,Bollinger Bands bao gồm các thành phần nào?,"MA, RSI, MACD","MA, Biên trên, Biên dưới","Giá trần, Giá sàn, MA","Giá mở cửa, Giá đóng cửa, Khối lượng",B,,,,,,,,,,,,,,,,,,,
97,Một cổ phiếu có P/B dưới 1 thường hàm ý gì?,Định giá cao,Thị trường định giá thấp hơn giá trị sổ sách,Tăng trưởng nhanh,Không có rủi ro,B,,,,,,,,,,,,,,,,,,,
98,Mô hình nến “Hammer” xuất hiện sau một xu hướng giảm thường báo hiệu?,Tiếp tục giảm mạnh,Khả năng đảo chiều tăng,Giá đi ngang dài hạn,Không có tín hiệu gì rõ ràng,B,,,,,,,,,,,,,,,,,,,
99,“Breakout” trong phân tích kỹ thuật là gì?,Giá cổ phiếu phá vỡ vùng kháng cự hoặc hỗ trợ mạnh,Giá về vùng tích lũy,Giá giảm dưới đường MA200,Giá cổ phiếu đi ngang dài hạn,A,,,,,,,,,,,,,,,,,,,
100,Phân tích kỹ thuật dựa trên giả định nào?,Giá cổ phiếu luôn phản ánh đầy đủ giá trị nội tại,Mọi thông tin thị trường là vô nghĩa,Lịch sử giá lặp lại theo mô hình,Nhà đầu tư hành xử hoàn toàn lý trí,C,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
